,count,mean,min,25%,50%,75%,max,std
date,2870,2022-11-02 00:00:00.000000256,2020-02-05 00:00:00,2021-06-16 00:00:00,2022-11-02 00:00:00,2024-03-20 00:00:00,2025-07-30 00:00:00,
open,2870.0,4587.941459907317,0.0,0.278875,7.329,295.9925,120023.5,15634.694635799278
high,2870.0,4711.938752660628,0.0,0.2881,7.654,304.095,120167.5,16023.86943300581
low,2870.0,4479.456388982579,0.0,0.26894999999999997,7.005,282.765,117361.89,15309.856951497506
close,2870.0,4610.487299714634,0.0,0.278225,7.358499999999999,293.0,118808.78,15718.908273377321
usd_volume,2798.0,378767019.77297354,5844.68,14474935.1825,49276958.21,283170132.79999995,11250681620.25,853026027.754513
btc_volume,2870.0,93460820.18812545,0.0,373706.05,2288685.565,76007259.71000001,4169316482.57,269043016.160915
v_7d,2788.0,0.06523946481438506,-3.0604285280153682,-0.20231459291029275,0.05689105340623257,0.3358630145609238,4.05907499651472,0.5004065768989158
v_14d,2778.0,0.040382655842121036,-2.4851527494971926,-0.2738158911140083,0.03413881370411698,0.34067588059993215,4.66083547594965,0.5422030935713162
v_21d,2768.0,0.02695683528357995,-2.4598016900979474,-0.29683272096921076,0.0064163245535802105,0.32905581370851156,4.792228742921115,0.5705649068420187
v_28d,2758.0,0.01632536857894637,-2.4104615408033183,-0.33763365207286444,-0.004002242292594715,0.3372535295068708,4.767295823294946,0.5951104899312096
v_42d,2738.0,0.002933790567172804,-2.329003685961112,-0.37807450372674056,-0.028034628322830102,0.3505826572450106,4.6536069871944115,0.6367864539206617
log_return,2798.0,0.003111413649135767,-0.5382287463763564,-0.02311175912987928,0.0020288646911383683,0.028850565988877294,0.5462949439597621,0.06289488384470382
momentum_14,2768.0,0.04645096692862392,-0.6294024881724194,-0.08100455224521996,0.003855877753027981,0.10736661168292022,8.730959710882082,0.31561857369379387
volatility_14,2778.0,0.8527015383176412,0.1181664811379272,0.4991669730651245,0.7210914599260625,1.0268693898312362,8.958678948557441,0.5849125693002445
momentum_21,2758.0,0.07299240356509286,-0.6373456790123455,-0.1020046385119599,0.0039389630081217986,0.13145705423743165,7.018971983234062,0.4046761261130303
volatility_21,2768.0,0.8690024289501972,0.14377274047154723,0.5297468259871805,0.7437972551697675,1.0278656002228046,7.504272384006722,0.5589083837770124
momentum_28,2748.0,0.10257562477981995,-0.6648177496038032,-0.11862006591649166,0.009138227403730048,0.16555179404482628,10.133231240428792,0.5258624537144945
volatility_28,2758.0,0.8809268231911083,0.16254119389182978,0.5479096852200581,0.7597826050616862,1.0380151862089142,6.569200018652771,0.5400797510699469
momentum_42,2728.0,0.1747508139803632,-0.7276513461252417,-0.14662714115335623,0.01411529466289474,0.2454716383124761,17.764121876069826,0.8278520513685975
volatility_42,2738.0,0.8962849619413549,0.20802481176013254,0.5631318999551788,0.7816079872475274,1.0611264633289241,5.622104308630858,0.5159063179483263
momentum_90,2658.0,0.48211436630580756,-0.8176591375770021,-0.18590695227416854,0.0568644329410849,0.42209533211249806,36.689370612144366,1.7999177642852098
volatility_90,2668.0,0.9170997275337064,0.26037187598486145,0.6118154604140613,0.8149462893470962,1.1007770319801642,4.239529231712849,0.46131281511982813
strev_daily,2798.0,0.003111413649135767,-0.5382287463763564,-0.02311175912987928,0.0020288646911383683,0.028850565988877294,0.5462949439597621,0.06289488384470382
return,2788.0,0.021695628813012232,-0.5433677939372701,-0.052842616294219685,0.002137373572680956,0.06462190932290907,3.999330745549458,0.1790447498407031
strev_weekly,2788.0,0.021695628813012232,-0.5433677939372701,-0.052842616294219685,0.002137373572680956,0.06462190932290907,3.999330745549458,0.1790447498407031
